id,asnName,country,angle,cone,asrank,date,trasit,outgree,ingree,degree
15830,Equinix,Netherlands,38.3295055163398,815,68,20241209,2726,475,26,3227
3303,SWISSCOM,Switzerland,7.93257339692193,810,69,20241209,927,167,6,1100
209,CENTURYLINK-US-LEGACY-QWEST,United States,-99.8886280554743,800,70,20241209,28,702,0,730
50509,TRANSROUTE,Russia,30.44,799,71,20241209,79,181,7,267
3549,LVLT-3549,United States,-86.5384544890292,790,72,20241209,82,543,2,627
52468,,Panama,-79.5478817081977,779,73,20241209,50,410,21,481
55836,RELIANCEJIO-IN,India,77.6407557368474,767,74,20241209,2,161,1,164
23520,COLUMBUS-NETWORKS,United States,-78.4255285980563,754,75,20241209,16,161,7,184
32787,PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK,United States,-54.1131202061383,719,76,20241209,268,699,17,984
29076,CITYTELECOM-AS,Russia,36.1642579120244,718,77,20241209,118,164,6,288
13335,CLOUDFLARENET,United States,-117.236988365628,710,78,20241209,350,709,281,1340
328578,KEMNET-TECHNOLOGIES-AS,Kenya,28.1959547392502,704,79,20241209,6,2,4,12
9583,SIFY-AS-IN,India,79.8797864764389,699,80,20241209,63,205,9,277
267613,,Brazil,-46.5192338947406,662,81,20241209,2214,147,7,2368
2497,IIJ,Japan,138.60855849849,658,82,20241209,136,186,5,327
9304,HUTCHISON-AS-AP,Hong Kong,114.126020431518,654,83,20241209,1003,211,16,1230
26615,,Brazil,-46.1249340461146,650,84,20241209,26,86,1,113
22356,,Brazil,-46.9008007906489,646,85,20241209,738,52,5,795
8529,Zain Omantel International (ZOI),Oman,57.5860367904256,645,86,20241209,184,31,12,227
264409,Huge Networks,Brazil,-45.598614014335,642,87,20241209,167,103,7,277
37100,SEACOM-AS,Mauritius,46.4456781096061,641,88,20241209,1866,251,8,2125
53062,,Brazil,-50.5116315864724,638,89,20241209,29,346,11,386
132602,BANGLADESH-AS-AP,Bangladesh,90.42,626,90,20241209,39,38,5,82
3223,VOXILITY,United Kingdom,-7.7116746366937,617,91,20241209,208,197,8,413
34984,TELLCOM-AS,Turkey,30.5176526035181,611,92,20241209,11,244,4,259
7545,TPG-INTERNET-AP,Australia,143.66626539471,599,93,20241209,43,344,4,391
41095,IPTP,United Kingdom,29.5377871780451,590,94,20241209,439,80,7,526
137409,GSLNETWORKS-AS-AP,Australia,134.230755631984,585,95,20241209,3654,95,8,3757
7474,OPTUSCOM-AS01-AU,Australia,148.522076239484,580,96,20241209,26,201,3,230
12741,AS-NETIA,Poland,18.8162799430043,567,97,20241209,678,429,2,1109
58717,SUMMITCOMMUNICATIONS-BD,Bangladesh,90.4443467723809,558,98,20241209,123,406,10,539
24482,SGGS-AS-AP,Singapore,107.52504628292,528,99,20241209,8464,43,7,8514
